ArraySize,DataType,Time_ms,Comparisons,Swaps,ArrayAccesses
100,Random,0,4952,4956,97,10300
100,Sorted,0,0167,198,0,396
100,Reversed,0,2529,3823,50,7846
500,Random,3,8383,124760,495,251500
500,Sorted,0,0390,998,0,1996
500,Reversed,0,7975,94123,250,189246
1000,Random,3,9184,499510,994,1002996
1000,Sorted,0,0609,1998,0,3996
1000,Reversed,3,0938,375748,500,753496
5000,Random,46,5933,12497507,4996,25014998
5000,Sorted,0,0516,9998,0,19996
5000,Reversed,29,9693,9378748,2500,18767496
10000,Random,160,2972,49995014,9994,100030004
10000,Sorted,0,0784,19998,0,39996
10000,Reversed,119,9848,37507498,5000,75034996
20000,Random,644,1011,199990035,19985,400060010
20000,Sorted,0,1578,39998,0,79996
20000,Reversed,480,9050,150014998,10000,300069996
50000,Random,4003,5668,1249975036,49985,2500150012
50000,Sorted,0,3948,99998,0,199996
50000,Reversed,3001,8234,937537498,25000,1875174996
100000,Random,16084,6328,4999950023,99990,10000300006
100000,Sorted,0,7773,199998,0,399996
100000,Reversed,12015,2970,3750074998,50000,7500349996
